ID,label
0,7
1,2
2,3
3,11
4,0
5,4
6,7
7,12
8,10
9,1
10,7
11,2
12,19
13,7
14,2
15,0
16,5
17,12
18,13
19,6
20,6
21,1
22,8
23,1
24,2
25,10
26,26
27,3
28,13
29,1
30,5
31,0
32,5
33,7
34,5
35,7
36,7
37,0
38,5
39,11
40,0
41,5
42,12
43,6
44,8
45,3
46,0
47,12
48,7
49,0
50,8
51,26
52,6
53,12
54,8
55,11
56,0
57,15
58,17
59,2
60,1
61,7
62,8
63,6
64,13
65,1
66,7
67,13
68,1
69,19
70,14
71,7
72,7
73,8
74,8
75,2
76,11
77,10
78,11
79,12
80,3
81,3
82,12
83,19
84,11
85,2
86,5
87,9
88,7
89,2
90,10
91,4
92,0
93,0
94,25
95,23
96,14
97,8
98,7
99,19
100,11
101,5
102,0
103,1
104,8
105,1
106,8
107,3
108,8
109,8
110,0
111,1
112,5
113,19
114,2
115,8
116,15
117,7
118,5
119,13
120,8
121,1
122,8
123,2
124,11
125,11
126,12
127,6
128,10
129,8
130,9
131,7
132,3
133,7
134,19
135,14
136,7
137,8
138,13
139,13
140,7
141,8
142,5
143,7
144,14
145,1
146,2
147,2
148,9
149,3
150,7
151,7
152,6
153,8
154,7
155,2
156,5
157,11
158,19
159,8
160,14
161,13
162,5
163,19
164,7
165,6
166,8
167,8
168,19
169,7
170,0
171,7
172,8
173,0
174,13
175,4
176,1
177,4
178,10
179,21
180,7
181,3
182,1
183,8
184,5
185,2
186,0
187,21
188,15
189,6
190,7
191,8
192,16
193,1
194,12
195,9
196,12
197,12
198,5
199,8
200,12
201,1
202,13
203,6
204,0
205,7
206,3
207,6
208,1
209,3
210,26
211,10
212,7
213,3
214,8
215,3
216,8
217,11
218,6
219,11
220,25
221,11
222,9
223,1
224,4
225,20
226,1
227,26
228,19
229,8
230,8
231,4
232,1
233,13
234,23
235,8
236,7
237,0
238,5
239,14
240,8
241,5
242,1
243,19
244,6
245,15
246,10
247,19
248,12
249,11
250,1
251,11
252,0
253,6
254,12
255,2
256,12
257,7
258,5
259,1
260,1
261,4
262,6
263,0
264,5
265,0
266,7
267,15
268,11
269,9
270,8
271,8
272,5
273,8
274,4
275,7
276,1
277,3
278,5
279,11
280,2
281,5
282,15
283,8
284,4
285,3
286,9
287,14
288,1
289,7
290,7
291,4
292,4
293,11
294,1
295,7
296,21
297,8
298,10
299,8
300,10
301,5
302,11
303,7
304,19
305,0
306,8
307,8
308,1
309,8
310,5
311,19
312,16
313,4
314,3
315,7
316,11
317,16
318,25
319,8
320,7
321,8
322,7
323,1
324,14
325,19
326,2
327,11
328,11
329,5
330,12
331,2
332,19
333,23
334,4
335,10
336,14
337,7
338,5
339,1
340,5
341,14
342,19
343,6
344,9
345,8
346,6
347,8
348,6
349,6
350,15
351,12
352,4
353,8
354,8
355,1
356,12
357,5
358,11
359,12
360,2
361,10
362,12
363,2
364,7
365,11
366,2
367,12
368,4
369,3
370,7
371,3
372,8
373,0
374,8
375,10
376,7
377,3
378,7
379,7
380,17
381,4
382,1
383,1
384,8
385,8
386,7
387,11
388,7
389,2
390,6
391,19
392,11
393,8
394,7
395,7
396,8
397,1
398,5
399,5
400,1
401,15
402,11
403,12
404,13
405,5
406,8
407,11
408,11
409,2
410,15
411,11
412,10
413,11
414,0
415,7
416,25
417,9
418,1
419,0
420,5
421,8
422,1
423,11
424,14
425,23
426,13
427,0
428,20
429,7
430,12
431,8
432,10
433,28
434,9
435,9
436,19
437,19
438,6
439,3
440,8
441,1
442,10
443,0
444,1
445,19
446,1
447,5
448,7
449,4
450,1
451,8
452,3
453,7
454,13
455,11
456,23
457,10
458,1
459,8
460,6
461,6
462,1
463,9
464,13
465,5
466,7
467,4
468,26
469,7
470,15
471,11
472,3
473,1
474,1
475,11
476,0
477,2
478,1
479,8
480,1
481,7
482,7
483,8
484,15
485,14
486,9
487,11
488,12
489,11
490,5
491,1
492,7
493,8
494,11
495,15
496,11
497,1
498,8
499,6
500,8
501,5
502,11
503,7
504,8
505,7
506,7
507,9
508,9
509,12
510,2
511,9
512,13
513,1
514,4
515,12
516,12
517,13
518,6
519,1
520,1
521,25
522,8
523,8
524,6
525,5
526,0
527,8
528,7
529,8
530,15
531,1
532,12
533,6
534,7
535,13
536,8
537,0
538,6
539,19
540,3
541,12
542,1
543,8
544,2
545,1
546,7
547,7
548,12
549,5
550,1
551,16
552,14
553,8
554,14
555,6
556,26
557,3
558,8
559,16
560,3
561,7
562,12
563,6
564,6
565,8
566,0
567,4
568,13
569,0
570,7
571,6
572,11
573,7
574,3
575,7
576,5
577,11
578,8
579,2
580,0
581,15
582,6
583,7
584,1
585,11
586,3
587,13
588,5
589,7
590,8
591,9
592,8
593,7
594,15
595,12
596,8
597,8
598,0
599,7
600,9
601,12
602,2
603,8
604,9
605,1
606,7
607,11
608,26
609,5
610,19
611,1
612,8
613,12
614,19
615,8
616,12
617,8
618,8
619,19
620,9
621,7
622,8
623,22
624,10
625,1
626,0
627,8
628,10
629,25
630,5
631,9
632,9
633,11
634,5
635,11
636,1
637,8
638,7
639,1
640,11
641,12
642,4
643,11
644,0
645,8
646,25
647,2
648,8
649,7
650,11
651,1
652,8
653,1
654,12
655,16
656,5
657,19
658,12
659,6
660,8
661,13
662,5
663,2
664,7
665,0
666,0
667,5
668,4
669,1
670,12
671,3
672,11
673,8
674,6
675,7
676,8
677,25
678,2
679,4
680,2
681,13
682,7
683,11
684,0
685,1
686,6
687,25
688,25
689,3
690,8
691,1
692,1
693,12
694,1
695,9
696,8
697,5
698,0
699,9
700,11
701,7
702,3
703,1
704,4
705,7
706,2
707,7
708,2
709,8
710,16
711,12
712,12
713,11
714,7
715,8
716,11
717,11
718,6
719,5
720,8
721,12
722,7
723,5
724,7
725,6
726,9
727,19
728,1
729,7
730,7
731,12
732,12
733,12
734,8
735,13
736,9
737,2
738,19
739,8
740,3
741,3
742,7
743,1
744,8
745,9
746,0
747,7
748,12
749,2
750,26
751,13
752,9
753,23
754,13
755,4
756,7
757,7
758,8
759,7
760,2
761,0
762,19
763,0
764,6
765,19
766,19
767,4
768,7
769,8
770,8
771,6
772,0
773,13
774,8
775,7
776,7
777,1
778,12
779,1
780,12
781,8
782,17
783,5
784,2
785,12
786,26
787,1
788,3
789,7
790,3
791,14
792,0
793,7
794,1
795,1
796,1
797,9
798,8
799,14
800,6
801,2
802,6
803,1
804,22
805,7
806,7
807,0
808,7
809,8
810,7
811,19
812,1
813,8
814,13
815,7
816,7
817,8
818,8
819,12
820,12
821,13
822,11
823,19
824,1
825,1
826,8
827,17
828,7
829,1
830,15
831,1
832,11
833,0
834,0
835,5
836,0
837,3
838,8
839,11
840,7
841,8
842,19
843,5
844,5
845,11
846,6
847,1
848,10
849,14
850,15
851,6
852,3
853,5
854,7
855,0
856,11
857,6
858,7
859,7
860,7
861,26
862,3
863,4
864,6
865,19
866,7
867,13
868,11
869,7
870,7
871,6
872,7
873,1
874,12
875,0
876,3
877,0
878,4
879,0
880,9
881,1
882,0
883,4
884,7
885,7
886,11
887,8
888,1
889,19
890,7
891,12
892,2
893,11
894,6
895,11
896,19
897,8
898,5
899,8
900,11
901,6
902,6
903,12
904,11
905,19
906,8
907,7
908,11
909,15
910,18
911,7
912,11
913,2
914,20
915,5
916,9
917,1
918,5
919,8
920,13
921,19
922,11
923,1
924,3
925,19
926,1
927,11
928,9
929,9
930,1
931,0
932,9
933,7
934,7
935,5
936,12
937,8
938,7
939,8
940,16
941,1
942,3
943,7
944,4
945,11
946,1
947,0
948,8
949,12
950,0
951,8
952,0
953,4
954,7
955,11
956,4
957,11
958,15
959,1
960,11
961,6
962,0
963,1
964,6
965,19
966,6
967,8
968,5
969,9
970,7
971,7
972,16
973,6
974,2
975,23
976,7
977,1
978,8
979,0
980,7
981,25
982,19
983,8
984,11
985,11
986,11
987,9
988,1
989,5
990,7
991,0
992,5
993,6
994,1
995,6
996,9
997,2
998,0
999,7
1000,13
1001,11
1002,0
1003,6
1004,12
1005,13
1006,1
1007,1
1008,5
1009,5
1010,11
1011,1
1012,12
1013,8
1014,1
1015,2
1016,0
1017,8
1018,1
1019,9
1020,8
1021,19
1022,8
1023,1
1024,0
1025,16
1026,8
1027,5
1028,1
1029,7
1030,3
1031,8
1032,19
1033,4
1034,11
1035,8
1036,8
1037,1
